Region,Date,Time (UTC),Magnitude,Latitude,Longitude,max tp,Td
California,08/20/2001,07:34:23.00,3,34.04,-117.25,0.39,0.13
California,10/28/2001,16:29:54.01,3,33.93,-118.3,0.41,0.12
,11/5/2000,21:46:07.01,3.1,33.84,-117.74,0.53,0.36
California,09/17/2001,01:14:49.00,3.1,33.92,-117.77,0.41,0.19
California,09/16/2000,13:24:41.00,3.2,33.98,-118.42,0.36,0.19
California,03/17/2002,05:50:43.00,3.2,33.87,-117.86,0.43,0.34
California,02/18/2001,06:09:32.00,3.3,33.68,-116.81,0.33,0.11
California,1/7/2002,22:03:59,3.3,34.1,-116.65,0.35,0.13
California,03/25/2001,00:41:25.00,3.4,34.05,-117.57,0.38,0.19
,04/20/2001,09:52:12.00,3.4,33.71,-116.78,0.43,0.18
California,02/13/2001,03:04:35.01,3.5,34.55,-117.43,0.61,0.18
California,01/30/2002,18:47:57.00,3.5,34.37,-118.66,0.5,0.18
California,04/13/2001,11:50:12.00,3.6,33.88,-117.69,0.63,0.36
California,01/29/2002,20:23:07.00,3.6,34.36,-118.67,0.58,0.24
,04/30/2001,23:34:17.01,3.7,36.05,-117.88,0.8,0.51
,05/14/2001,17:13:30.00,3.8,34.23,-117.44,0.47,0.28
,01/29/2002,06:08:01.01,3.8,34.37,-118.66,0.63,0.2
,3/7/2001,11:40:48.00,3.9,34.26,-116.76,0.46,0.23
California,01/29/2002,06:00:39.01,3.9,34.37,-118.67,0.62,0.23
California,10/28/2001,16:27:45.01,4,33.92,-118.27,0.65,0.28
California,05/17/2001,22:56:45.01,4.1,35.8,-118.05,0.57,0.27
California,11/13/2001,20:43:14.01,4.1,33.32,-115.7,0.92,0.28
California,9/9/2001,23:59:18.00,4.2,34.06,-118.39,0.76,0.35
California,01/29/2002,05:53:28.01,4.2,34.36,-118.66,0.5,0.22
California,02/21/2000,13:49:43.00,4.3,34.05,-117.26,0.61,0.29
California,01/14/2001,02:26:14.00,4.3,34.28,-118.4,0.7,0.38
California,07/20/2001,12:53:07.00,4.4,36,-117.88,0.61,0.29
California,5/4/2002,08:02:56.00,4.4,34.52,-116.3,0.63,0.29
California,10/16/1999,22:53:41.00,4.5,34.71,-116.35,0.5,0.22
California,10/16/1999,20:13:37.01,4.6,34.69,-116.28,0.66,0.3
California,06/26/2000,15:43:07.01,4.6,34.78,-116.29,0.63,0.56
California,10/16/1999,11:26:04.01,4.7,34.81,-116.34,0.74,0.13
California,07/17/2001,12:59:59.00,4.7,36.02,-117.88,1.12,0.56
California,10/16/1999,10:20:52.01,4.8,34.36,-116.15,0.58,0.28
California,07/17/2001,12:07:26.00,4.8,36.01,-117.86,0.88,0.33
California,7/3/1998,00:36:46.08,5,36.08,-117.62,0.69,0.22
California,10/22/1999,16:08:48.01,5,34.87,-116.41,0.75,0.29
California,04/26/1997,10:37:30.07,5.1,34.37,-118.67,0.63,0.3
California,10/21/1999,01:54:34.02,5.1,35.27,-116.07,0.54,0.25
California,6/3/1998,05:47:40.03,5.2,36.07,-117.64,0.92,0.52
California,11/27/1996,20:17:24.01,5.3,36.08,-117.65,0.95,0.28
California,03/18/1997,15:24:47.07,5.3,34.97,-116.82,0.8,0.24
California,10/16/1999,12:57:21.10,5.6,34.44,-116.24,0.74,0.49
California,09/20/1995,23:27:36.30,5.8,35.76,-117.64,1.5,0.44
California,10/16/1999,09:59:35.02,5.8,34.68,-116.29,1.16,0.22
Taiwan,06/14/2001,02:35:35.78,5.9,24.42,121.93,2.03,0.53
Taiwan,10/6/2003,08:40:32.05,5.9,23.5,121.7,1.25,0.34
Japan,6/6/2000,21:16:42.40,5.9,36.84,135.55,0.94,0.48
Japan,07/20/2000,18:39:18.82,6,36.52,141.1,1.44,0.67
Japan,07/25/2003,22:13:29.97,6,38.4,141.17,1.05,0.39
Japan,3/6/2000,08:54:49.20,6.1,35.68,140.72,1.43,1.1
Japan,12/29/2003,01:30:54.70,6.1,42.42,144.76,0.95,0.49
Japan,08/13/2001,20:11:23.40,6.4,41.01,142.42,1.61,0.7
Japan,09/29/2003,02:36:53.14,6.4,42.36,144.56,1.15,1.1
Taiwan,09/20/1999,18:03:41.57,6.6,23.8,120.86,2.29,0.58
Japan,8/10/2003,09:06:55.34,6.7,42.56,144.67,2.24,0.7
California (Northridge),01/17/1994,12:30:55.00,6.7,34.21,-118.54,1.44,1.27
Japan,01/28/2000,14:21:07.34,6.8,42.98,146.72,1.54,1.07
Japan,03/24/2001,06:27:53.58,6.8,34.12,132.71,1.12,0.55
Japan,05/26/2003,09:24:33.40,7,38.8,141.68,1.23,0.73
Taiwan,03/31/2002,06:52:49.95,7.1,24.14,122.19,1.59,0.82
California (Hector Mine),10/16/1999,09:46:44.01,7.1,34.6,-116.27,1.14,2.35
Japan,09/25/2003,21:08:00.03,7.3,41.71,143.69,1.54,0.52
California (Landers),06/28/1992,11:57:34.12,7.3,34.2,-116.44,1.68,2.05
Taiwan (Chi-Chi),09/20/1999,17:47:15.85,7.6,23.85,120.82,1.31,0.69
Alaska (Denali),3/11/2002,22:11:57.88,7.9,63.52,-147.53,2.02,0.45
Japan (Tokachi-Oki),09/25/2003,19:50:06.36,8.3,41.78,144.08,1.87,1.43
